"ArrayRegularity","NRL","Shift","ORF"
0.81,171,23,"YDR162C"
0.93,172,-10,"YDR163W"
0.89,164,14,"YDR164C"
0.96,166,5,"YDR165W"
0.84,161,-5,"YDR166C"
0.76,164,-3,"YDR167W"
0.91,165,7,"YDR168W"
0.79,165,0,"YDR169C"
0.91,169,0,"YDR170C"
0.89,169,11,"YDR171W"
0.84,158,5,"YDR172W"
0.94,164,-4,"YDR173C"
0.82,165,42,"YDR174W"
0.88,162,0,"YDR175C"
0.93,169,4,"YDR176W"
0.82,157,11,"YDR177W"
0.9,165,0,"YDR178W"
0.56,156,30,"YDR179C"
0.88,168,1,"YDR180W"
0.95,168,5,"YDR181C"
0.89,162,-9,"YDR182W"
0.91,168,-24,"YDR183W"
0.92,168,2,"YDR184C"
0.93,172,0,"YDR185C"
0.84,181,-8,"YDR186C"
0.93,166,6,"YDR188W"
0.94,164,0,"YDR189W"
0.93,161,0,"YDR190C"
0.9,167,11,"YDR191W"
0.9,166,0,"YDR192C"
0.77,164,1,"YDR194C"
0.94,168,2,"YDR195W"
0.91,169,0,"YDR196C"
0.95,167,14,"YDR197W"
0.94,163,5,"YDR198C"
0.89,167,11,"YDR200C"
0.84,165,-1,"YDR201W"
0.8,158,6,"YDR202C"
0.82,157,0,"YDR204W"
0.85,166,13,"YDR205W"
0.89,165,1,"YDR206W"
0.79,175,3,"YDR207C"
0.81,161,-5,"YDR208W"
0.92,167,0,"YDR211W"
0.92,165,0,"YDR212W"
0.94,174,0,"YDR213W"
0.65,197,0,"YDR214W"
0.57,205,46,"YDR216W"
0.94,166,-5,"YDR217C"
0.92,169,-5,"YDR218C"
0.93,165,9,"YDR219C"
0.71,167,0,"YDR221W"
0.73,180,-32,"YDR223W"
0.79,155,-13,"YDR224C"
0.84,171,-16,"YDR225W"
0.79,149,9,"YDR226W"
0.92,164,0,"YDR227W"
0.89,165,-25,"YDR228C"
0.91,172,-5,"YDR229W"
0.8,182,-11,"YDR231C"
0.8,170,31,"YDR232W"
0.65,156,0,"YDR233C"
0.9,173,21,"YDR234W"
0.85,164,-10,"YDR235W"
0.84,167,10,"YDR236C"
0.89,166,-6,"YDR237W"
0.9,161,0,"YDR238C"
0.95,168,7,"YDR239C"
0.83,168,2,"YDR240C"
0.86,166,0,"YDR242W"
0.88,173,-3,"YDR243C"
0.92,164,0,"YDR244W"
0.83,163,15,"YDR245W"
0.75,164,-2,"YDR246W"
0.82,167,-25,"YDR247W"
0.94,162,-7,"YDR251W"
0.9,164,8,"YDR252W"
0.91,167,-7,"YDR253C"
0.9,170,0,"YDR254W"
0.88,167,6,"YDR255C"
0.91,171,-11,"YDR256C"
0.9,164,2,"YDR257C"
0.88,166,0,"YDR258C"
0.74,165,21,"YDR259C"
0.63,172,-18,"YDR260C"
0.91,167,4,"YDR261C"
0.91,169,24,"YDR263C"
0.89,165,2,"YDR264C"
0.92,178,0,"YDR265W"
0.92,162,0,"YDR266C"
0.89,174,0,"YDR267C"
0.84,163,-11,"YDR268W"
0.92,166,21,"YDR270W"
0.95,172,13,"YDR272W"
0.87,169,-7,"YDR273W"
0.64,192,11,"YDR275W"
0.62,169,-22,"YDR276C"
0.73,170,7,"YDR277C"
0.87,171,-13,"YDR279W"
0.87,163,1,"YDR280W"
0.63,171,-26,"YDR281C"
0.89,169,16,"YDR283C"
0.85,168,0,"YDR284C"
0.87,173,0,"YDR285W"
0.82,155,8,"YDR287W"
0.92,168,1,"YDR288W"
0.91,165,-6,"YDR289C"
0.87,163,0,"YDR292C"
0.7,162,-3,"YDR293C"
0.91,166,5,"YDR294C"
0.94,172,26,"YDR295C"
0.72,163,-28,"YDR296W"
0.74,149,-9,"YDR297W"
0.81,163,-14,"YDR298C"
0.9,167,9,"YDR299W"
0.91,166,-8,"YDR300C"
0.83,166,20,"YDR301W"
0.88,167,0,"YDR302W"
0.74,181,44,"YDR303C"
0.81,165,4,"YDR304C"
0.72,161,-19,"YDR305C"
0.88,171,-13,"YDR308C"
0.82,165,0,"YDR309C"
0.89,163,-10,"YDR310C"
0.84,162,7,"YDR311W"
0.87,165,-2,"YDR312W"
0.94,163,0,"YDR313C"
0.89,166,8,"YDR314C"
0.91,157,3,"YDR315C"
0.86,159,-3,"YDR316W"
0.76,174,-33,"YDR317W"
0.94,175,-3,"YDR318W"
0.87,167,-10,"YDR320C"
0.86,178,0,"YDR320C-A"
0.86,166,3,"YDR321W"
0.93,166,9,"YDR322W"
0.96,166,-1,"YDR322C-A"
0.89,165,0,"YDR323C"
0.88,164,-1,"YDR324C"
0.9,164,1,"YDR325W"
0.86,164,-8,"YDR326C"
0.86,168,0,"YDR328C"
0.87,169,10,"YDR329C"
0.94,164,0,"YDR330W"
0.88,168,2,"YDR331W"
0.9,173,-2,"YDR332W"
0.87,167,2,"YDR334W"
0.92,173,0,"YDR335W"
0.94,170,6,"YDR337W"
0.69,157,-11,"YDR339C"
0.86,159,0,"YDR341C"
0.14,206,21,"YDR342C"
0,NA,NA,"YDR343C"
0.81,169,16,"YDR345C"
0.91,161,-1,"YDR346C"
0.93,165,4,"YDR347W"
0.91,171,8,"YDR349C"
0.88,161,0,"YDR350C"
0.82,164,9,"YDR351W"
0.83,176,13,"YDR353W"
0.91,169,-8,"YDR354W"
0.9,163,1,"YDR356W"
0.88,163,-11,"YDR358W"
0.76,161,0,"YDR359C"
0.86,161,0,"YDR361C"
0.9,168,11,"YDR362C"
0.94,169,-1,"YDR363W"
0.88,173,5,"YDR363W-A"
0.92,166,-6,"YDR364C"
0.9,165,0,"YDR365C"
0.81,152,-1,"YDR367W"
0.92,172,-7,"YDR368W"
0.86,166,17,"YDR369C"
0.9,162,-6,"YDR372C"
0.78,166,0,"YDR373W"
0.9,166,15,"YDR375C"
0.95,170,6,"YDR376W"
0.88,165,-1,"YDR377W"
0.94,171,-10,"YDR378C"
0.95,166,0,"YDR379W"
0.89,171,-15,"YDR379C-A"
0.85,173,8,"YDR380W"
0.6,163,-34,"YDR381W"
0.91,167,0,"YDR381C-A"
0.62,176,-15,"YDR382W"
0.75,171,-22,"YDR383C"
0.72,162,0,"YDR384C"
0.31,220,6,"YDR385W"
0.86,175,-18,"YDR386W"
0.87,161,14,"YDR388W"
0.87,164,0,"YDR389W"
0.92,165,4,"YDR390C"
0.82,153,17,"YDR392W"
0.91,169,10,"YDR393W"
0.9,164,-2,"YDR394W"
0.92,163,8,"YDR395W"
0.81,182,-1,"YDR397C"
0.9,164,-1,"YDR398W"
0.78,164,20,"YDR399W"
0.83,159,-14,"YDR400W"
0.86,174,-3,"YDR402C"
0.87,169,6,"YDR403W"
0.86,166,3,"YDR404C"
0.82,161,0,"YDR405W"
0.61,159,-20,"YDR406W"
0.97,168,0,"YDR407C"
0.63,147,0,"YDR408C"
0.92,167,-4,"YDR409W"
0.72,156,0,"YDR410C"
0.94,165,3,"YDR411C"
0.92,173,3,"YDR412W"
0.94,164,5,"YDR414C"
0.91,165,-1,"YDR416W"
0.86,160,0,"YDR418W"
0.91,167,-7,"YDR419W"
0.76,165,0,"YDR420W"
0.85,167,-1,"YDR421W"
0.95,165,0,"YDR422C"
0.87,163,-1,"YDR423C"
0.6,151,17,"YDR424C"
0.91,165,2,"YDR425W"
0.96,158,0,"YDR427W"
0.81,168,-13,"YDR428C"
0.93,161,0,"YDR429C"
0.92,167,0,"YDR430C"
0.87,156,-1,"YDR432W"
0.96,163,0,"YDR434W"
0.9,169,-11,"YDR435C"
0.81,172,-29,"YDR436W"
0.88,182,2,"YDR437W"
0.63,158,-14,"YDR438W"
0.91,166,-6,"YDR439W"
0.93,168,6,"YDR440W"
0.8,168,24,"YDR441C"
0.94,164,0,"YDR443C"
0.92,174,1,"YDR446W"
0.82,156,-27,"YDR447C"
0.95,170,2,"YDR448W"
0.87,164,-1,"YDR449C"
0.86,172,1,"YDR450W"
0.73,130,0,"YDR451C"
0.88,167,1,"YDR452W"
0.86,179,-2,"YDR453C"
0.82,165,0,"YDR454C"
0.87,167,-2,"YDR456W"
0.87,159,0,"YDR457W"
0.91,164,-13,"YDR458C"
0.97,173,0,"YDR459C"
0.86,170,5,"YDR460W"
0.76,169,-15,"YDR461W"
0.73,153,1,"YDR462W"
0.94,165,0,"YDR463W"
0.93,163,0,"YDR464W"
0.95,171,8,"YDR465C"
0.91,162,-1,"YDR466W"
0.88,166,13,"YDR468C"
0.91,170,1,"YDR469W"
0.87,168,3,"YDR470C"
0.65,168,-28,"YDR471W"
0.77,164,-30,"YDR472W"
0.92,167,16,"YDR473C"
0.77,168,13,"YDR475C"
0.92,165,4,"YDR477W"
0.81,171,3,"YDR478W"
0.87,166,-15,"YDR479C"
0.91,167,-6,"YDR480W"
0.84,161,0,"YDR481C"
0.79,192,0,"YDR482C"
0.92,165,5,"YDR483W"
0.93,166,4,"YDR484W"
0.92,167,7,"YDR485C"
0.87,169,-5,"YDR486C"
0.84,164,-20,"YDR487C"
0.87,172,-12,"YDR488C"
0.93,166,-3,"YDR489W"
0.93,169,0,"YDR490C"
0.9,168,6,"YDR492W"
0.62,152,8,"YDR493W"
0.81,159,-4,"YDR494W"
0.88,166,1,"YDR495C"
0.88,161,0,"YDR496C"
0.72,165,0,"YDR497C"
0.86,166,4,"YDR498C"
0.93,164,2,"YDR499W"
0.79,160,0,"YDR500C"
0.95,173,0,"YDR501W"
0.96,167,-9,"YDR502C"
0.85,159,1,"YDR503C"
0.94,158,0,"YDR505C"
0.95,171,1,"YDR507C"
0.58,185,70,"YDR508C"
0.69,169,0,"YDR510W"
0.86,179,-3,"YDR511W"
0.84,179,-7,"YDR512C"
0.78,159,-10,"YDR513W"
0.9,169,20,"YDR515W"
0.87,179,19,"YDR516C"
0.86,166,0,"YDR517W"
0.94,169,6,"YDR518W"
0.93,171,2,"YDR519W"
0.88,168,4,"YDR522C"
0.82,180,-3,"YDR523C"
0.74,154,-3,"YDR524C"
0.59,176,-25,"YDR525W-A"
0.82,175,13,"YDR527W"
0.83,169,24,"YDR528W"
0.86,168,-12,"YDR529C"
0.88,174,12,"YDR530C"
0.9,159,-13,"YDR531W"
0.86,164,-48,"YDR532C"
0.69,157,2,"YDR533C"
0.8,166,-44,"YDR536W"
0.92,176,0,"YDR538W"
0.85,162,-2,"YDR539W"
0.71,165,2,"YDR540C"
0.56,220,39,"YDR542W"
0.91,162,12,"YEL072W"
0.58,137,0,"YEL071W"
0.72,170,0,"YEL069C"
0.65,165,2,"YEL066W"
0.93,169,5,"YEL065W"
0.92,169,1,"YEL064C"
0.62,169,47,"YEL063C"
0.85,169,-11,"YEL062W"
0.9,165,5,"YEL061C"
0.94,164,0,"YEL060C"
0.6,164,3,"YEL059C-A"
0.86,163,0,"YEL058W"
0.94,166,9,"YEL056W"
0.91,167,0,"YEL055C"
0.66,160,0,"YEL054C"
0.86,165,-1,"YEL053C"
0.86,167,-13,"YEL052W"
0.92,173,0,"YEL051W"
0.93,166,0,"YEL050C"
0.78,165,0,"YEL049W"
0.8,166,0,"YEL048C"
0.82,173,1,"YEL047C"
0.79,166,-7,"YEL046C"
0.57,220,-27,"YEL044W"
0.93,166,-1,"YEL043W"
0.91,164,0,"YEL042W"
0.9,169,-19,"YEL041W"
0.55,137,0,"YEL040W"
0.73,177,-11,"YEL039C"
0.88,171,0,"YEL038W"
0.82,169,2,"YEL037C"
0.89,167,1,"YEL036C"
0.55,205,-68,"YEL034W"
0.93,168,9,"YEL032W"
0.88,168,1,"YEL031W"
0.92,164,-5,"YEL030W"
0.89,168,-9,"YEL029C"
0.75,152,-28,"YEL027W"
0.91,174,0,"YEL026W"
0.88,170,12,"YEL024W"
0.92,168,1,"YEL022W"
0.8,155,11,"YEL021W"
0.58,173,-7,"YEL020W-A"
0.92,169,-3,"YEL019C"
0.81,161,-2,"YEL018W"
0.66,165,0,"YEL017C-A"
0.85,170,-4,"YEL017W"
0.91,168,-2,"YEL016C"
0.89,164,0,"YEL015W"
0.9,166,10,"YEL013W"
0.94,175,0,"YEL012W"
0.89,172,29,"YEL011W"
0.63,185,39,"YEL009C"
0.91,166,1,"YEL006W"
0.69,150,-4,"YEL005C"
0.79,159,-11,"YEL004W"
0.95,168,0,"YEL003W"
0.89,167,-4,"YEL002C"
0.81,165,2,"YEL001C"
0.69,150,-19,"YER001W"
0.94,173,0,"YER002W"
0.96,169,12,"YER003C"
0.71,166,-8,"YER004W"
0.84,167,-35,"YER005W"
0.9,167,4,"YER006W"
0.7,166,13,"YER007W"
0.84,175,0,"YER007C-A"
0.9,166,6,"YER008C"
0.86,170,-13,"YER009W"
0.72,172,-6,"YER010C"
0.7,169,26,"YER011W"
0.87,180,-28,"YER012W"
0.94,167,11,"YER013W"
0.92,172,-5,"YER014W"
0.58,198,-67,"YER014C-A"
0.91,179,-1,"YER015W"
0.96,172,11,"YER016W"
0.83,165,-28,"YER017C"
0.48,189,9,"YER018C"
0.83,166,0,"YER019W"
0.63,207,0,"YER019C-A"
0.94,175,6,"YER020W"
0.93,156,-4,"YER021W"
0.94,166,6,"YER022W"
0.82,160,9,"YER023W"
0.76,179,-4,"YER024W"
0.88,165,4,"YER025W"
0.82,175,3,"YER026C"
0.97,164,0,"YER027C"
0.71,197,-52,"YER028C"
0.75,156,-3,"YER029C"
0.68,164,1,"YER030W"
0.66,166,0,"YER031C"
0.89,168,-3,"YER032W"
0.78,167,-3,"YER033C"
0.75,174,-9,"YER035W"
0.9,160,0,"YER036C"
0.81,169,-47,"YER037W"
0.9,161,4,"YER038C"
0.89,167,0,"YER039C"
0.91,168,17,"YER040W"
0.82,163,8,"YER041W"
0.89,175,-10,"YER042W"
0.83,168,27,"YER043C"
0.63,188,13,"YER044C"
0.77,180,3,"YER044C-A"
0.69,214,65,"YER045C"
0.72,189,-10,"YER046W"
0.9,170,3,"YER047C"
0.89,158,0,"YER048C"
0.91,172,11,"YER048W-A"
0.94,171,9,"YER049W"
0.87,171,11,"YER050C"
0.94,171,0,"YER051W"
0.91,167,13,"YER052C"
0.73,165,4,"YER053C"
0.86,163,15,"YER055C"
0.87,167,10,"YER056C"
0.75,148,21,"YER056C-A"
0.55,162,-25,"YER057C"
0.57,146,2,"YER058W"
0.9,166,18,"YER059W"
0.89,169,7,"YER060W"
0.88,167,-37,"YER061C"
0.86,166,-22,"YER062C"
0.89,182,-37,"YER063W"
0.88,159,-2,"YER065C"
0.91,171,5,"YER067W"
0.84,163,0,"YER068W"
0.91,168,0,"YER069W"
0.96,171,13,"YER070W"
0.65,165,-2,"YER072W"
0.65,162,-27,"YER073W"
0.81,166,-12,"YER074W"
0.91,167,0,"YER074W-A"
0.84,181,-49,"YER075C"
0.84,169,7,"YER078C"
0.87,165,0,"YER080W"
0.74,181,-3,"YER081W"
0.96,166,7,"YER082C"
0.73,154,0,"YER083C"
0.87,169,14,"YER086W"
0.92,168,17,"YER087W"
0.87,178,0,"YER087C-B"
0.68,181,25,"YER088C"
0.85,164,0,"YER089C"
0.87,167,4,"YER090W"
0.82,169,26,"YER091C"
0.75,156,0,"YER092W"
0.87,163,-7,"YER093C"
0.73,184,-6,"YER093C-A"
0.8,161,0,"YER094C"
0.84,172,0,"YER095W"
0.85,174,0,"YER096W"
0.84,163,0,"YER098W"
0.87,168,9,"YER099C"
0.84,166,-7,"YER100W"
0.86,175,-22,"YER101C"
0.53,164,8,"YER102W"
0.72,176,-8,"YER103W"
0.89,167,-1,"YER104W"
0.87,163,0,"YER105C"
0.94,173,-1,"YER106W"
0.82,165,0,"YER107C"
0.91,168,0,"YER109C"
0.84,168,3,"YER110C"
0.92,171,5,"YER111C"
0.87,169,-3,"YER112W"
0.93,167,22,"YER113C"
0.9,160,-7,"YER114C"
0.77,153,0,"YER115C"
0.83,176,0,"YER116C"
0.9,156,15,"YER117W"
0.94,168,0,"YER118C"
0.94,168,-9,"YER119C"
0.87,156,0,"YER120W"
0.88,162,5,"YER122C"
0.89,162,0,"YER123W"
0.95,170,4,"YER124C"
0.9,164,7,"YER125W"
0.87,171,13,"YER126C"
0.92,162,0,"YER127W"
0.88,166,-7,"YER129W"
0.77,163,23,"YER131W"
0.82,176,19,"YER132C"
0.67,163,-38,"YER133W"
0.88,168,17,"YER136W"
0.95,168,-3,"YER139C"
0.92,164,-5,"YER141W"
0.81,161,0,"YER142C"
0.92,173,9,"YER143W"
0.88,163,-12,"YER144C"
0.74,205,-22,"YER145C"
0.74,144,1,"YER146W"
0.88,167,-1,"YER147C"
0.78,164,-5,"YER148W"
0.95,166,7,"YER149C"
0.73,155,15,"YER150W"
0.95,166,1,"YER151C"
0.89,174,-7,"YER152C"
0.53,155,16,"YER153C"
0.84,176,-7,"YER154W"
0.78,166,10,"YER155C"
0.79,164,0,"YER157W"
0.65,170,-26,"YER159C"
0.86,162,0,"YER161C"
0.97,166,-2,"YER162C"
0.87,164,14,"YER164W"
0.74,165,0,"YER165W"
0.9,168,-6,"YER166W"
0.92,167,0,"YER167W"
0.92,165,5,"YER168C"
0.79,167,1,"YER169W"
0.73,151,12,"YER170W"
0.94,169,0,"YER171W"
0.94,165,0,"YER172C"
0.92,166,0,"YER173W"
0.94,170,-1,"YER174C"
0.77,163,-17,"YER175C"
0.87,164,0,"YER176W"
0.68,140,-3,"YER177W"
0.9,165,10,"YER178W"
0.72,183,-6,"YER179W"
0.89,162,0,"YER180C-A"
0.93,172,5,"YER183C"
0.94,171,-2,"YER185W"
0.29,130,56,"YER190W"
0.51,169,-21,"YFL062W"
0.31,210,-16,"YFL060C"
0.15,186,46,"YFL059W"
0.34,148,70,"YFL058W"
0.9,164,-3,"YFL056C"
0.94,173,2,"YFL055W"
0.89,173,13,"YFL053W"
0.85,163,-2,"YFL050C"
0.78,163,0,"YFL049W"
0.96,163,0,"YFL048C"
0.89,166,0,"YFL047W"
0.7,161,3,"YFL045C"
0.72,161,-5,"YFL044C"
0.82,169,2,"YFL041W"
0.7,150,1,"YFL039C"
0.75,163,-5,"YFL038C"
0.96,167,2,"YFL037W"
0.91,162,0,"YFL036W"
0.88,170,0,"YFL034C-B"
0.73,171,-11,"YFL034C-A"
0.88,169,-27,"YFL033C"
0.79,161,-18,"YFL031W"
0.89,172,67,"YFL030W"
0.89,170,-23,"YFL029C"
0.95,168,0,"YFL028C"
0.82,169,9,"YFL027C"
0.77,171,2,"YFL026W"
0.91,170,0,"YFL025C"
0.89,166,16,"YFL024C"
0.92,167,0,"YFL023W"
0.89,163,4,"YFL022C"
0.66,203,56,"YFL021W"
0.87,164,0,"YFL018C"
0.76,178,24,"YFL017W-A"
0.83,176,-7,"YFL017C"
0.78,169,-14,"YFL016C"
0.85,178,0,"YFL014W"
0.92,165,10,"YFL013C"
0.86,174,4,"YFL011W"
0.91,170,9,"YFL010W-A"
0.75,163,-1,"YFL010C"
0.94,166,0,"YFL009W"
0.93,166,0,"YFL008W"
0.92,167,7,"YFL007W"
0.89,168,1,"YFL005W"
0.93,163,3,"YFL004W"
0.91,174,1,"YFL003C"
0.94,161,0,"YFL002C"
0.93,171,12,"YFL001W"
0.82,164,-14,"YFR001W"
0.84,168,0,"YFR002W"
0.9,166,-15,"YFR003C"
0.93,165,9,"YFR004W"
0.94,168,0,"YFR005C"
0.84,163,13,"YFR007W"
0.9,167,9,"YFR008W"
0.89,159,-8,"YFR009W"
0.92,162,-1,"YFR010W"
0.83,171,-3,"YFR011C"
0.9,166,0,"YFR013W"
0.74,175,-23,"YFR014C"
0.88,173,4,"YFR015C"
0.94,169,-2,"YFR016C"
0.91,175,0,"YFR019W"
0.97,173,3,"YFR021W"
0.89,168,-8,"YFR022W"
0.89,180,22,"YFR023W"
0.85,168,-13,"YFR024C-A"
0.8,170,5,"YFR025C"
0.86,173,1,"YFR026C"
0.91,174,3,"YFR027W"
0.9,164,-2,"YFR028C"
0.95,164,0,"YFR029W"
0.86,171,7,"YFR030W"
0.9,164,1,"YFR031C"
0.39,181,21,"YFR031C-A"
0.46,156,0,"YFR032C-A"
0.69,202,-1,"YFR033C"
0.54,173,-9,"YFR034C"
0.66,166,5,"YFR036W"
0.86,164,-2,"YFR037C"
0.94,168,5,"YFR038W"
0.92,167,0,"YFR040W"
0.91,166,-3,"YFR041C"
0.88,166,6,"YFR042W"
0.9,170,-17,"YFR043C"
0.88,169,1,"YFR044C"
0.85,168,8,"YFR046C"
0.86,159,5,"YFR047C"
0.89,162,-4,"YFR048W"
0.89,170,-10,"YFR049W"
0.91,158,0,"YFR050C"
0.86,167,1,"YFR051C"
0.8,158,0,"YFR052W"
0.53,175,7,"YGL258W"
0.74,164,2,"YGL257C"
0.87,162,6,"YGL256W"
0.86,170,-16,"YGL255W"
0.84,177,-6,"YGL254W"
0.66,160,-12,"YGL253W"
0.91,163,-1,"YGL252C"
0.89,171,-10,"YGL250W"
0.85,167,12,"YGL249W"
0.81,163,0,"YGL248W"
0.84,170,18,"YGL247W"
0.9,160,0,"YGL246C"
0.92,168,0,"YGL245W"
0.95,161,0,"YGL244W"
0.7,162,-13,"YGL243W"
0.93,165,-6,"YGL241W"
0.84,165,-21,"YGL240W"
0.87,155,13,"YGL238W"
0.9,169,-5,"YGL237C"
0.91,173,0,"YGL236C"
0.91,166,0,"YGL234W"
0.94,162,0,"YGL233W"
0.88,168,-1,"YGL232W"
0.95,164,-1,"YGL231C"
0.88,168,-11,"YGL229C"
0.94,165,0,"YGL228W"
0.94,169,0,"YGL227W"
0.92,169,-4,"YGL226C-A"
0.65,160,0,"YGL226W"
0.89,166,8,"YGL225W"
0.81,168,12,"YGL224C"
0.83,162,-6,"YGL223C"
0.63,162,-3,"YGL222C"
0.76,156,-4,"YGL221C"
0.83,171,-13,"YGL220W"
0.85,166,3,"YGL219C"
0.87,169,0,"YGL216W"
0.91,159,1,"YGL215W"
0.96,165,8,"YGL213C"
0.82,160,0,"YGL212W"
0.91,162,3,"YGL211W"
0.84,180,-7,"YGL210W"
0.97,168,2,"YGL209W"
0.82,159,-5,"YGL208W"
0.89,160,-1,"YGL207W"
0.79,163,14,"YGL206C"
0.94,175,6,"YGL205W"
0.89,167,4,"YGL203C"
0.89,164,-21,"YGL202W"
0.89,165,-9,"YGL201C"
0.85,164,-24,"YGL200C"
0.61,205,-17,"YGL198W"
0.87,165,0,"YGL197W"
0.78,169,13,"YGL196W"
0.88,163,0,"YGL195W"
0.96,163,1,"YGL194C"
0.91,169,14,"YGL192W"
0.85,163,18,"YGL191W"
0.92,164,-11,"YGL190C"
0.69,145,0,"YGL189C"
0.86,163,0,"YGL187C"
0.89,172,0,"YGL186C"
0.9,172,5,"YGL183C"
0.93,164,6,"YGL181W"
0.95,170,4,"YGL180W"
0.86,175,0,"YGL179C"
0.76,130,0,"YGL178W"
0.91,167,1,"YGL175C"
0.88,176,-3,"YGL174W"
0.86,160,-2,"YGL173C"
0.88,167,-1,"YGL172W"
0.86,167,9,"YGL171W"
0.94,180,3,"YGL170C"
0.94,171,8,"YGL169W"
0.75,153,-19,"YGL168W"
0.61,178,-3,"YGL167C"
0.67,160,-4,"YGL166W"
0.91,163,4,"YGL164C"
0.86,168,-1,"YGL163C"
0.86,164,8,"YGL162W"
0.92,169,-7,"YGL161C"
0.93,170,0,"YGL160W"
0.92,174,5,"YGL158W"
0.85,161,-7,"YGL157W"
0.9,172,11,"YGL156W"
0.88,170,4,"YGL155W"
0.96,172,1,"YGL154C"
0.75,164,1,"YGL153W"
0.91,165,10,"YGL151W"
0.88,168,-36,"YGL150C"
0.93,167,1,"YGL148W"
0.65,157,0,"YGL147C"
0.92,166,5,"YGL145W"
0.89,169,-3,"YGL144C"
0.84,171,-11,"YGL143C"
0.88,164,0,"YGL142C"
0.89,169,7,"YGL141W"
0.85,165,-1,"YGL139W"
0.92,165,-3,"YGL137W"
0.77,171,23,"YGL136C"
0.6,175,7,"YGL135W"
0.97,168,3,"YGL134W"
0.92,169,-23,"YGL133W"
0.92,165,-4,"YGL131C"
0.95,167,14,"YGL130W"
0.86,167,12,"YGL129C"
0.76,187,12,"YGL128C"
0.8,160,0,"YGL127C"
0.62,220,-7,"YGL126W"
0.81,190,0,"YGL125W"
0.82,164,-3,"YGL124C"
0.76,169,31,"YGL123W"
0.69,165,0,"YGL122C"
0.52,157,-10,"YGL121C"
0.83,166,6,"YGL120C"
0.88,167,2,"YGL119W"
0.95,172,4,"YGL116W"
0.87,168,3,"YGL115W"
0.84,165,-8,"YGL113W"
0.87,165,1,"YGL112C"
0.94,168,6,"YGL111W"
0.94,165,5,"YGL110C"
0.97,165,0,"YGL107C"
0.66,177,-3,"YGL106W"
0.83,163,-8,"YGL105W"
0.77,170,-14,"YGL104C"
0.67,158,0,"YGL103W"
0.86,162,-8,"YGL100W"
0.96,169,0,"YGL099W"
0.62,160,18,"YGL098W"
0.8,167,0,"YGL097W"
0.82,194,0,"YGL096W"
0.92,165,2,"YGL095C"
0.95,165,3,"YGL094C"
0.8,164,0,"YGL093W"
0.9,163,-2,"YGL092W"
0.93,172,-2,"YGL091C"
0.92,169,4,"YGL090W"
0.78,174,-8,"YGL087C"
0.92,164,1,"YGL086W"
0.88,166,13,"YGL084C"
0.89,166,3,"YGL083W"
0.94,166,0,"YGL078C"
0.86,179,11,"YGL077C"
0.82,165,3,"YGL076C"
0.85,169,8,"YGL075C"
0.88,167,29,"YGL073W"
0.89,174,14,"YGL071W"
0.85,166,-2,"YGL070C"
0.77,159,0,"YGL068W"
0.74,159,11,"YGL067W"
0.84,172,-6,"YGL066W"
0.93,168,-14,"YGL065C"
0.82,166,-2,"YGL064C"
0.86,177,13,"YGL063W"
0.78,177,0,"YGL062W"
0.84,167,-9,"YGL061C"
0.94,164,-8,"YGL060W"
0.92,167,0,"YGL059W"
0.84,161,12,"YGL058W"
0.89,158,11,"YGL057C"
0.84,169,6,"YGL056C"
0.7,174,0,"YGL055W"
0.83,167,15,"YGL054C"
0.51,173,-48,"YGL053W"
0.91,166,0,"YGL050W"
0.83,168,8,"YGL049C"
0.94,160,-1,"YGL048C"
0.64,206,-16,"YGL047W"
0.87,173,-28,"YGL045W"
0.85,166,-2,"YGL044C"
0.85,165,3,"YGL043W"
0.95,167,14,"YGL040C"
0.84,186,2,"YGL039W"
0.77,170,29,"YGL038C"
0.81,150,26,"YGL037C"
0.65,144,43,"YGL035C"
0.91,168,-9,"YGL032C"
0.91,161,0,"YGL031C"
0.61,189,-27,"YGL030W"
0.66,168,-8,"YGL029W"
0.93,170,-8,"YGL028C"
0.83,165,2,"YGL027C"
0.85,164,4,"YGL026C"
0.89,160,-2,"YGL025C"
0.89,168,0,"YGL023C"
0.9,165,0,"YGL022W"
0.9,167,4,"YGL021W"
0.9,166,11,"YGL020C"
0.89,169,-1,"YGL019W"
0.92,172,-6,"YGL018C"
0.86,165,5,"YGL017W"
0.91,166,0,"YGL016W"
0.92,166,1,"YGL014W"
0.93,177,-16,"YGL013C"
0.94,171,-1,"YGL012W"
0.92,164,0,"YGL011C"
0.84,163,-20,"YGL009C"
0.89,163,-5,"YGL006W"
0.94,169,0,"YGL005C"
0.86,166,2,"YGL004C"
0.91,166,-10,"YGL003C"
0.89,169,13,"YGL002W"
0.91,168,-4,"YGL001C"
0.91,164,1,"YGR002C"
0.89,168,-9,"YGR003W"
0.89,163,0,"YGR004W"
0.91,165,0,"YGR005C"
0.74,163,-15,"YGR006W"
0.95,164,0,"YGR007W"
0.94,170,0,"YGR008C"
0.93,164,-1,"YGR009C"
0.89,175,-19,"YGR010W"
0.85,164,0,"YGR012W"
0.94,163,-1,"YGR013W"
0.95,168,21,"YGR014W"
0.77,201,0,"YGR019W"
0.49,144,0,"YGR020C"
0.89,166,3,"YGR023W"
0.72,186,1,"YGR024C"
0.79,168,3,"YGR027C"
0.79,165,-4,"YGR028W"
0.87,164,8,"YGR029W"
0.78,164,7,"YGR030C"
